"Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14"
1.160,1.02,-0.75,-9.70,1.160,0.61,-2.12,-3.76,1.160,0.86,-0.11,-58.97,1.160,0.69,-1.87,-2.20,1.160,0.30,-2.29,-1.69,1.160,0.61,-1.95,-2.78,1.160,0.80,-1.56,-2.49,1.160,0.47,-1.69,-0.45,1.160,0.58,-1.21,-0.31,1.160,0.64,-0.91,-1.60
1.180,1.01,-0.96,-8.71,1.180,0.57,-2.22,-4.47,1.180,0.86,-0.04,9.09,1.180,0.66,-1.90,-1.72,1.180,0.26,-2.26,120.69,1.180,0.57,-2.00,-2.41,1.180,0.77,-1.58,-2.32,1.180,0.43,-1.70,-0.66,1.180,0.56,-1.22,-0.57,1.180,0.62,-0.96,-1.63
1.200,0.99,-1.09,-6.87,1.200,0.52,-2.31,-4.28,1.200,0.86,-0.03,27.26,1.200,0.62,-1.91,-2.33,1.200,0.21,-2.38,376.80,1.200,0.53,-2.05,-2.18,1.200,0.74,-1.64,-2.78,1.200,0.40,-1.72,-1.02,1.200,0.53,-1.24,-0.88,1.200,0.60,-1.00,-0.88
1.220,0.96,-1.21,-5.85,1.220,0.48,-2.39,-4.14,1.220,0.86,0.87,37.38,1.220,0.58,-1.99,-3.02,1.220,0.17,12.33,494.86,1.220,0.49,-2.09,-1.96,1.220,0.71,-1.70,-3.10,1.220,0.37,-1.74,-1.47,1.220,0.51,-1.26,-1.12,1.220,0.58,-1.00,-0.16
1.240,0.94,-1.32,-5.52,1.240,0.43,-2.46,-4.32,1.240,0.86,2.25,9.93,1.240,0.54,-2.06,-3.01,1.240,0.11,28.34,208.89,1.240,0.45,-2.13,-1.95,1.240,0.67,-1.77,-2.63,1.240,0.33,-1.78,-1.94,1.240,0.48,-1.28,-1.18,1.240,0.56,-0.98,-0.02
1.260,0.91,-1.43,-5.30,1.260,0.38,-2.56,-4.46,1.260,0.97,2.17,-12.54,1.260,0.50,-2.11,-2.35,1.260,1.84,26.41,-329.75,1.260,0.40,-2.16,-2.32,1.260,0.63,-1.81,-2.03,1.260,0.30,-1.82,-2.16,1.260,0.46,-1.31,-1.05,1.260,0.54,-0.99,-0.28
1.280,0.88,-1.53,-4.89,1.280,0.33,-2.65,-2.58,1.280,1.02,-0.14,27.73,1.280,0.46,-2.15,-2.18,1.280,1.94,8.61,-517.70,1.280,0.36,-2.22,-2.81,1.280,0.60,-1.84,-1.73,1.280,0.26,-1.87,-0.70,1.280,0.43,-1.33,-0.85,1.280,0.52,-1.00,-0.45
1.300,0.85,-1.63,-4.53,1.300,0.27,-2.73,-3.32,1.300,0.96,1.75,92.75,1.300,0.41,-2.18,-2.60,1.300,1.50,-7.51,-276.48,1.300,0.31,-2.28,-2.73,1.300,0.56,-1.88,-1.77,1.300,0.22,-1.90,3.15,1.300,0.40,-1.34,-0.73,1.300,0.50,-1.01,-0.40
1.320,0.81,-1.70,-4.69,1.320,0.22,-2.60,-6.20,1.320,0.85,5.99,75.95,1.320,0.37,-2.25,-2.95,1.320,1.48,0.13,-38.99,1.320,0.27,-2.34,1.19,1.320,0.52,-1.91,-1.59,1.320,0.18,-1.78,133.30,1.320,0.38,-1.35,-0.57,1.320,0.48,-1.02,-0.32
1.340,0.78,-1.80,-5.39,1.340,0.16,-3.01,4619.93,1.340,1.35,7.17,-41.18,1.340,0.32,-2.32,-2.88,1.340,1.40,1.71,-74.69,1.340,0.22,-2.36,11.81,1.340,0.48,-1.95,-1.20,1.340,0.14,-1.53,387.03,1.340,0.35,-1.37,0.01,1.340,0.46,-1.02,-0.23
1.360,0.74,-1.93,-5.83,1.360,0.12,-3.12,9358.77,1.360,1.35,3.56,-121.89,1.360,0.28,-2.36,0.46,1.360,2.06,-5.28,-130.50,1.360,0.17,-1.99,17.06,1.360,0.44,-1.96,-1.12,1.360,0.12,13.76,511.99,1.360,0.32,-1.37,0.30,1.360,0.44,-1.03,-0.18
1.380,0.70,-2.05,-5.17,1.380,0.00,552.18,4957.48,1.380,1.32,-0.76,-100.29,1.380,0.23,-2.42,7.93,1.380,1.13,-11.06,121.17,1.380,0.13,-1.21,6.97,1.380,0.40,-1.98,-1.48,1.380,0.10,29.00,274.55,1.380,0.29,-1.33,-0.21,1.380,0.42,-1.03,-0.21
1.400,0.66,-2.15,-3.80,1.400,0.00,565.26,-8804.96,1.400,1.31,-0.71,-34.30,1.400,0.18,-2.10,248.11,1.400,1.12,-2.76,319.12,1.400,0.12,-1.44,-7.81,1.400,0.37,-2.02,-1.94,1.400,1.88,29.12,-269.51,1.400,0.27,-1.36,-1.46,1.400,0.40,-1.03,-0.29
1.420,0.62,-2.20,-2.81,1.420,66.54,23.50,-18255.74,1.420,1.30,-0.60,-0.84,1.420,0.13,-1.63,549.90,1.420,1.02,13.73,167.00,1.420,0.13,-2.07,-3.83,1.420,0.32,-2.06,-1.96,1.420,1.87,16.05,-575.54,1.420,0.24,-1.40,-1.80,1.420,0.38,-1.04,-0.29
