,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
33,0.5800000000000001,,0.5800000000000001,,0.5800000000000001,,0.5800000000000001,,0.5800000000000001,,0.5800000000000001,,0.5800000000000001,,0.5800000000000001,0.14,0.5800000000000001,0.35,0.5800000000000001,0.5
34,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,,0.6000000000000001,0.32,0.6000000000000001,0.48
35,0.62,,0.62,,0.62,,0.62,,0.62,,0.62,,0.62,,0.62,,0.62,0.29,0.62,0.46
36,0.64,,0.64,,0.64,,0.64,,0.64,,0.64,,0.64,,0.64,,0.64,0.27,0.64,0.44
37,0.66,,0.66,,0.66,,0.66,,0.66,,0.66,,0.66,,0.66,,0.66,0.24,0.66,0.42
38,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,,0.68,0.21,0.68,0.4
39,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,,0.7000000000000001,0.18,0.7000000000000001,0.38
40,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,,0.7200000000000001,0.15,0.7200000000000001,0.36
41,0.74,,0.74,,0.74,,0.74,,0.74,,0.74,,0.74,,0.74,,0.74,0.13,0.74,0.34
42,0.76,,0.76,,0.76,,0.76,,0.76,,0.76,,0.76,,0.76,,0.76,0.13,0.76,0.32
43,0.78,,0.78,,0.78,,0.78,,0.78,,0.78,,0.78,,0.78,,0.78,0.13,0.78,0.3
44,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,0.28
45,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,0.25
46,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,,0.8400000000000001,0.23
47,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,0.21
48,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,0.19
49,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,0.17
50,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,0.15
51,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,0.13
52,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,,0.9600000000000001,
53,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,,0.9800000000000001,
54,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
55,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,
56,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,
57,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,,1.0599999999999998,
58,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,,1.0799999999999998,
59,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,,1.0999999999999999,
60,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,,1.1199999999999999,
