,Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10,Time (s) Run #11,Position (m) Run #11
42,0.78,0.68,0.78,0.74,0.78,0.69,0.78,0.68,0.78,0.74,0.78,0.69,0.78,0.66,0.78,0.75,0.78,0.72,0.78,0.8,0.78,0.58
43,0.8,0.67,0.8,0.72,0.8,0.68,0.8,0.66,0.8,0.72,0.8,0.68,0.8,0.65,0.8,0.74,0.8,0.71,0.8,0.78,0.8,0.57
44,0.8200000000000001,0.65,0.8200000000000001,0.71,0.8200000000000001,0.68,0.8200000000000001,0.65,0.8200000000000001,0.77,0.8200000000000001,0.67,0.8200000000000001,0.63,0.8200000000000001,0.73,0.8200000000000001,0.69,0.8200000000000001,0.77,0.8200000000000001,0.56
45,0.8400000000000001,0.64,0.8400000000000001,0.69,0.8400000000000001,0.65,0.8400000000000001,0.63,0.8400000000000001,0.69,0.8400000000000001,0.65,0.8400000000000001,0.62,0.8400000000000001,0.71,0.8400000000000001,0.68,0.8400000000000001,0.76,0.8400000000000001,0.54
46,0.8600000000000001,0.62,0.8600000000000001,0.68,0.8600000000000001,0.63,0.8600000000000001,0.62,0.8600000000000001,0.68,0.8600000000000001,0.64,0.8600000000000001,0.61,0.8600000000000001,0.7,0.8600000000000001,0.67,0.8600000000000001,0.75,0.8600000000000001,0.53
47,0.8799999999999999,0.6,0.8799999999999999,0.66,0.8799999999999999,0.61,0.8799999999999999,0.6,0.8799999999999999,0.67,0.8799999999999999,0.63,0.8799999999999999,0.59,0.8799999999999999,0.69,0.8799999999999999,0.65,0.8799999999999999,0.73,0.8799999999999999,0.51
48,0.8999999999999999,0.59,0.8999999999999999,0.65,0.8999999999999999,0.6,0.8999999999999999,0.58,0.8999999999999999,0.65,0.8999999999999999,0.61,0.8999999999999999,0.58,0.8999999999999999,0.67,0.8999999999999999,0.64,0.8999999999999999,0.72,0.8999999999999999,0.5
49,0.9199999999999999,0.57,0.9199999999999999,0.63,0.9199999999999999,0.58,0.9199999999999999,0.57,0.9199999999999999,0.64,0.9199999999999999,0.6,0.9199999999999999,0.57,0.9199999999999999,0.66,0.9199999999999999,0.62,0.9199999999999999,0.71,0.9199999999999999,0.48
50,0.94,0.56,0.94,0.62,0.94,0.56,0.94,0.55,0.94,0.62,0.94,0.59,0.94,0.55,0.94,0.64,0.94,0.61,0.94,0.69,0.94,0.47
51,0.96,0.54,0.96,0.6,0.96,0.55,0.96,0.54,0.96,0.61,0.96,0.57,0.96,0.54,0.96,0.63,0.96,0.59,0.96,0.68,0.96,0.45
52,0.98,0.52,0.98,0.58,0.98,0.54,0.98,0.52,0.98,0.59,0.98,0.56,0.98,0.52,0.98,0.62,0.98,0.58,0.98,0.67,0.98,0.44
53,1.0,0.51,1.0,0.57,1.0,0.51,1.0,0.5,1.0,0.58,1.0,0.54,1.0,0.51,1.0,0.6,1.0,0.56,1.0,0.65,1.0,0.42
54,1.02,0.49,1.02,0.55,1.02,0.49,1.02,0.48,1.02,0.56,1.02,0.53,1.02,0.49,1.02,0.59,1.02,0.55,1.02,0.64,1.02,0.41
55,1.04,0.47,1.04,0.53,1.04,0.48,1.04,0.47,1.04,0.54,1.04,0.51,1.04,0.48,1.04,0.57,1.04,0.53,1.04,0.62,1.04,0.39
56,1.06,0.45,1.06,0.51,1.06,0.46,1.06,0.45,1.06,0.53,1.06,0.5,1.06,0.47,1.06,0.56,1.06,0.52,1.06,0.61,1.06,0.38
57,1.0799999999999998,0.44,1.0799999999999998,0.5,1.0799999999999998,0.44,1.0799999999999998,0.43,1.0799999999999998,0.51,1.0799999999999998,0.49,1.0799999999999998,0.45,1.0799999999999998,0.54,1.0799999999999998,0.5,1.0799999999999998,0.59,1.0799999999999998,0.36
58,1.0999999999999999,0.42,1.0999999999999999,0.48,1.0999999999999999,0.43,1.0999999999999999,0.41,1.0999999999999999,0.49,1.0999999999999999,0.47,1.0999999999999999,0.44,1.0999999999999999,0.53,1.0999999999999999,0.49,1.0999999999999999,0.58,1.0999999999999999,0.34
